data;region;province;latitude;longitude;av_temperature;rel_humidity;precipitation;wind_speed;human_population;new_cases
25/10/2023;Comunidad Valenciana;Valencia;39.4738338;-0.3756348;21.3;47.4;0;24;2656291;0
25/10/2023;Andalucía;Huelva;37.2619585;-6.9427327;20.4;86.1;7.4;13.3;530824;0
25/10/2023;Cataluña;Barcelona;41.3873974;2.168568;19.3;55.5;0;17.7;5805500;0
25/10/2023;Extremadura;Badajoz;38.8781352;-6.9704837;18.7;82.3;0.6;8.4;665089;0
25/10/2023;Andalucía;Sevilla;37.3890924;-5.9844589;19.8;81.8;0;15.4;1957210;0
25/10/2023;Extremadura;Cáceres;39.4755328;-6.3734664;16.8;85;8.6;17.1;387434;1
25/10/2023;Castilla-La Mancha;Toledo;39.8628296;-4.0273067;16.1;78.4;0;13.6;728496;0
01/11/2023;Comunidad Valenciana;Valencia;39.4738338;-0.3756348;19.2;48.9;0;21.4;2656291;0
01/11/2023;Andalucía;Huelva;37.2619585;-6.9427327;17.1;85.8;0;11.6;530824;0
01/11/2023;Cataluña;Barcelona;41.3873974;2.168568;15.4;66.8;0;15.4;5805500;0
01/11/2023;Extremadura;Badajoz;38.8781352;-6.9704837;16.8;82.9;3.6;9;665089;0
01/11/2023;Andalucía;Sevilla;37.3890924;-5.9844589;15.6;87.3;0.1;10.8;1957210;0
01/11/2023;Extremadura;Cáceres;39.4755328;-6.3734664;15.1;89.5;0.5;20.2;387434;0
01/11/2023;Castilla-La Mancha;Toledo;39.8628296;-4.0273067;13.6;82;0.6;11.9;728496;0
08/11/2023;Comunidad Valenciana;Valencia;39.4738338;-0.3756348;14.5;51;0.2;15.4;2656291;0
08/11/2023;Andalucía;Huelva;37.2619585;-6.9427327;13.9;80.5;0;5.4;530824;0
08/11/2023;Cataluña;Barcelona;41.3873974;2.168568;11.7;62;0.4;15.2;5805500;0
08/11/2023;Extremadura;Badajoz;38.8781352;-6.9704837;12.7;83.2;0.6;4;665089;0
08/11/2023;Andalucía;Sevilla;37.3890924;-5.9844589;12.3;76.1;0.3;5.6;1957210;0
08/11/2023;Extremadura;Cáceres;39.4755328;-6.3734664;11.8;81.2;0;9.3;387434;0
08/11/2023;Castilla-La Mancha;Toledo;39.8628296;-4.0273067;10.1;81.9;0.4;5.9;728496;0
20/06/2024;Andalucía;Sevilla;37.3890924;-5.9844589;20;63.9;0;14.6;1967746;1
27/06/2024;Andalucía;Sevilla;37.3890924;-5.9844589;22.7;61.6;0;14.1;1967746;3
04/07/2024;Andalucía;Málaga;36.7178196;-4.425557;25.8;49.3;0;9;1773136;1
04/07/2024;Andalucía;Sevilla;37.3890924;-5.9844589;31.5;35.4;0;8.7;1967746;4
11/07/2024;Andalucía;Málaga;36.7178196;-4.425557;24.1;56.2;0;11.8;1773136;0
11/07/2024;Andalucía;Sevilla;37.3890924;-5.9844589;31.3;40.9;0;12.7;1967746;9
18/07/2024;Andalucía;Málaga;36.7178196;-4.425557;25.3;77.8;0;11.3;1773136;0
18/07/2024;Andalucía;Sevilla;37.3890924;-5.9844589;29.8;37.2;0;8;1967746;4
25/07/2024;Andalucía;Málaga;36.7178196;-4.425557;24.4;44.5;0;13;1773136;0
25/07/2024;Andalucía;Sevilla;37.3890924;-5.9844589;31.3;41.6;0;15.7;1967746;14
01/08/2024;Andalucía;Málaga;36.7178196;-4.425557;30;50.3;0;14.8;1773136;0
01/08/2024;Andalucía;Sevilla;37.3890924;-5.9844589;30;45;0;13;1967746;18
07/08/2024;Andalucía;Cádiz;36.5210142;-6.2804565;24.1;83;0;13;1254291;1
07/08/2024;Andalucía;Huelva;37.2619585;-6.9427327;26.9;56.2;0;9.5;533448;1
07/08/2024;Andalucía;Málaga;36.7178196;-4.425557;26.3;52.9;0;12.3;1773136;0
07/08/2024;Andalucía;Sevilla;37.3890924;-5.9844589;29.3;53.7;0;10.3;1967746;5
14/08/2024;Extremadura;Badajoz;38.8781352;-6.9704837;26;50.7;0;11.7;664970;8
14/08/2024;Andalucía;Cádiz;36.5210142;-6.2804565;24.5;68.2;0;25.6;1254291;0
14/08/2024;Andalucía;Huelva;37.2619585;-6.9427327;24.8;57.9;0;15;533448;0
14/08/2024;Andalucía;Jaén;37.779552;-3.7849699;27.6;32;0;12;618678;1
14/08/2024;Andalucía;Málaga;36.7178196;-4.425557;30.3;37.2;0;22.6;1773136;0
14/08/2024;Andalucía;Sevilla;37.3890924;-5.9844589;27.5;42.2;0;13.4;1967746;9
21/08/2024;Extremadura;Badajoz;38.8781352;-6.9704837;28.8;42.5;0;8.3;664970;10
21/08/2024;Extremadura;Cáceres;39.4755328;-6.3734664;30.7;26.5;0;12.3;387820;2
21/08/2024;Andalucía;Cádiz;36.5210142;-6.2804565;25.4;79.7;0;16.8;1254291;0
21/08/2024;Andalucía;Córdoba;37.8893025;-4.7792753;30.8;40.9;0;12.4;772152;2
21/08/2024;Andalucía;Huelva;37.2619585;-6.9427327;26.4;59;0;10.3;533448;0
21/08/2024;Andalucía;Jaén;37.779552;-3.7849699;30.3;43;0;9.2;618678;0
21/08/2024;Andalucía;Málaga;36.7178196;-4.425557;26.5;79.5;0;11.3;1773136;0
21/08/2024;Andalucía;Sevilla;37.3890924;-5.9844589;29.3;50.4;0;12;1967746;10
28/08/2024;Extremadura;Badajoz;38.8781352;-6.9704837;26.3;38;0;9.2;664970;4
28/08/2024;Extremadura;Cáceres;39.4755328;-6.3734664;28.1;31.8;0;9.2;387820;1
28/08/2024;Andalucía;Cádiz;36.5210142;-6.2804565;24.4;83.5;0;11.3;1254291;0
28/08/2024;Andalucía;Córdoba;37.8893025;-4.7792753;29.8;49;0.1;10.5;772152;1
28/08/2024;Andalucía;Huelva;37.2619585;-6.9427327;25.3;77.5;0;9.9;533448;1
28/08/2024;Andalucía;Jaén;37.779552;-3.7849699;29.6;42.1;1.6;9.5;618678;1
28/08/2024;Andalucía;Málaga;36.7178196;-4.425557;26.1;82.5;0;9.8;1773136;0
28/08/2024;Andalucía;Sevilla;37.3890924;-5.9844589;28.4;62.3;0;10.2;1967746;9
04/09/2024;Extremadura;Badajoz;38.8781352;-6.9704837;24.4;41.4;0;9.4;664970;3
04/09/2024;Extremadura;Cáceres;39.4755328;-6.3734664;24.8;46.4;0;9.4;387820;1
04/09/2024;Andalucía;Cádiz;36.5210142;-6.2804565;25;79.6;0;9.7;1254291;0
04/09/2024;Andalucía;Córdoba;37.8893025;-4.7792753;23.9;49.9;0;8.7;772152;0
04/09/2024;Andalucía;Huelva;37.2619585;-6.9427327;23;57.9;0;11.6;533448;0
04/09/2024;Andalucía;Jaén;37.779552;-3.7849699;24.1;39.2;0;7.9;618678;0
04/09/2024;Andalucía;Málaga;36.7178196;-4.425557;26.8;48.5;0;14.2;1773136;0
04/09/2024;Andalucía;Sevilla;37.3890924;-5.9844589;24.9;61.8;0;11.3;1967746;2
11/09/2024;Extremadura;Badajoz;38.8781352;-6.9704837;23.3;46;0;9;664970;1
11/09/2024;Extremadura;Cáceres;39.4755328;-6.3734664;24.7;34.8;0;12;387820;2
11/09/2024;Andalucía;Cádiz;36.5210142;-6.2804565;21.7;82;0;18.8;1254291;2
11/09/2024;Andalucía;Córdoba;37.8893025;-4.7792753;23.1;49.3;0;12;772152;0
11/09/2024;Andalucía;Huelva;37.2619585;-6.9427327;21.8;61.6;0;12.1;533448;0
11/09/2024;Andalucía;Jaén;37.779552;-3.7849699;23.3;45.9;0;9.7;618678;2
11/09/2024;Andalucía;Málaga;36.7178196;-4.425557;22.1;62.5;0;10.7;1773136;0
11/09/2024;Andalucía;Sevilla;37.3890924;-5.9844589;24;66.4;0;12.4;1967746;1
18/09/2024;Extremadura;Badajoz;38.8781352;-6.9704837;22.9;58.6;0;5.2;664970;0
18/09/2024;Extremadura;Cáceres;39.4755328;-6.3734664;22.4;57.8;0;8.6;387820;0
18/09/2024;Andalucía;Cádiz;36.5210142;-6.2804565;23.7;62.8;0;28.2;1254291;0
18/09/2024;Andalucía;Córdoba;37.8893025;-4.7792753;24.8;55.5;0;9.1;772152;0
18/09/2024;Andalucía;Huelva;37.2619585;-6.9427327;22.4;75.3;0;12.7;533448;0
18/09/2024;Andalucía;Jaén;37.779552;-3.7849699;23.1;53.5;0;10;618678;0
18/09/2024;Andalucía;Málaga;36.7178196;-4.425557;22.7;73.7;0;11.7;1773136;0
18/09/2024;Andalucía;Sevilla;37.3890924;-5.9844589;24.1;65.5;0;9.6;1967746;1
